lat,lon,sst
9.7292,-121.3542,28.1800
9.7292,-121.3125,27.8700
9.7292,-121.2708,27.7350
9.7292,-121.2292,27.8600
9.7292,-121.1875,28.2150
9.7292,-121.1458,28.1150
9.7292,-121.1042,27.8900
9.7292,-121.0625,28.0300
9.7292,-121.0208,28.1150
9.7292,-120.3958,26.7850
9.7292,-120.3542,26.9100
9.7292,-120.3125,26.9950
9.7292,-120.2708,27.1050
9.7292,-120.2292,27.2550
9.6875,-139.9375,26.6650
9.6875,-139.8958,26.7250
9.6875,-139.8542,26.7900
9.6875,-139.8125,26.7500
9.6875,-139.7708,26.5850
9.6875,-139.7292,26.6700
9.6875,-139.6875,26.5950
9.6875,-139.6458,26.4850
9.6875,-139.6042,26.3650
9.6875,-139.5625,26.7050
9.6875,-139.5208,26.7700
9.6875,-139.4792,26.6550
9.6875,-139.4375,26.2600
9.6875,-139.3958,25.3000
9.6875,-139.3125,26.2800
9.6875,-139.2708,26.2950
9.6875,-139.2292,26.4050
9.6875,-139.1875,26.6800
9.6875,-138.8958,26.3400
9.6875,-138.8542,25.6700
9.6875,-138.8125,25.6350
9.6875,-138.7708,26.4150
9.6875,-138.7292,26.4650
9.6875,-138.6875,26.6300
9.6875,-138.6458,26.4050
9.6875,-138.6042,26.4050
9.6875,-138.5625,26.4400
9.6875,-138.5208,26.4350
9.6875,-138.4792,25.8400
9.6875,-138.4375,25.9250
9.6875,-138.3958,25.9000
9.6875,-138.3542,26.0100
9.6875,-138.3125,26.2350
9.6875,-138.2708,26.4400
9.6875,-138.2292,26.5000
9.6875,-138.1875,26.5500
9.6875,-138.1458,26.6300
9.6875,-138.1042,26.7550
9.6875,-138.0625,26.8600
9.6875,-138.0208,26.8000
9.6875,-137.9792,26.6700
9.6875,-137.9375,26.6750
9.6875,-137.8958,26.6800
9.6875,-137.8542,26.5750
9.6875,-137.8125,26.3650
9.6875,-137.7708,26.7500
9.6875,-137.7292,26.9200
9.6875,-137.6875,26.9250
9.6875,-137.6458,26.9450
9.6875,-137.6042,27.0150
9.6875,-136.1875,26.3750
9.6875,-136.1458,26.3800
9.6875,-136.1042,26.5500
9.6875,-136.0625,26.8200
9.6875,-136.0208,26.8250
9.6875,-135.9792,26.2650
9.6875,-135.9375,26.5350
9.6875,-135.8958,26.2950
9.6875,-135.8542,26.5050
9.6875,-135.8125,26.5250
9.6875,-135.7708,26.2300
9.6875,-135.7292,26.2750
9.6875,-135.6875,25.9500
9.6875,-134.0208,26.7600
9.6875,-133.9792,26.7600
9.6875,-131.7292,26.8550
9.6875,-131.6875,26.6850
9.6875,-131.6458,26.5650
9.6875,-122.2292,27.4950
9.6875,-122.1875,27.5000
9.6875,-122.1458,27.5050
9.6875,-121.6875,27.9050
9.6875,-121.6458,27.9100
9.6875,-121.6042,28.0600
9.6875,-121.5625,27.9550
9.6875,-121.5208,27.6900
9.6875,-121.4792,27.7750
9.6875,-121.4375,27.9500
9.6875,-121.3958,27.6950
9.6875,-121.3542,27.5000
9.6875,-121.3125,27.8550
9.6875,-121.2708,27.9850
9.6875,-121.2292,28.2000
9.6875,-121.1875,28.2450
9.6875,-121.1458,28.1450
9.6875,-121.1042,28.0300
9.6875,-121.0625,28.1100
9.6875,-121.0208,27.9950
9.6875,-120.9792,27.9550
9.6875,-120.2292,26.6600
